998,2995,4990,9928
the	ð ə
of	ʌ v
and	ə n d
to	t u
in	ɪ n
be	b i
that	ð æ t
for	f ɔ ɹ
it	ɪ t
not	n ɑ t
with	w ɪ ð
as	æ z
on	ɑ n
have	h æ v
you	j u
he	h i
her	h ɝ
by	b aɪ
at	æ t
can	k æ n
will	w ɪ ɫ
from	f ɹ ʌ m
do	d u
or	ɔ ɹ
this	ð ɪ s
but	b ʌ t
she	ʃ i
they	ð eɪ
which	w ɪ tʃ
my	m aɪ
their	ð ɛ ɹ
one	w ʌ n
all	ɔ ɫ
we	w i
him	h ɪ m
me	m i
out	aʊ t
up	ʌ p
time	t aɪ m
so	s oʊ
other	ʌ ð ɝ
see	s i
about	ə b aʊ t
who	h u
know	n oʊ
them	ð ɛ m
into	ɪ n t u
when	w ɛ n
what	w ʌ t
there	ð ɛ ɹ
if	ɪ f
may	m eɪ
take	t eɪ k
your	j ɔ ɹ
no	n oʊ
like	ɫ aɪ k
well	w ɛ ɫ
go	ɡ oʊ
also	ɔ ɫ s oʊ
get	ɡ ɛ t
than	ð æ n
think	θ ɪ ŋ k
come	k ʌ m
only	oʊ n ɫ i
little	ɫ ɪ t ə ɫ
work	w ɝ k
some	s ʌ m
man	m æ n
make	m eɪ k
shall	ʃ æ ɫ
then	ð ɛ n
over	oʊ v ɝ
give	ɡ ɪ v
way	w eɪ
such	s ʌ tʃ
these	ð i z
our	aʊ ɝ
back	b æ k
use	j u s
any	ɛ n i
even	i v ɪ n
just	dʒ ʌ s t
through	θ ɹ u
how	h aʊ
first	f ɝ s t
want	w ɑ n t
need	n i d
hand	h æ n d
day	d eɪ
between	b ɪ t w i n
say	s eɪ
now	n aʊ
long	ɫ ɔ ŋ
where	w ɛ ɹ
down	d aʊ n
before	b ɪ f ɔ ɹ
right	ɹ aɪ t
very	v ɛ ɹ i
us	ʌ s
because	b ɪ k ɔ z
good	ɡ ʊ d
life	ɫ aɪ f
look	ɫ ʊ k
here	h i ɹ
much	m ʌ tʃ
own	oʊ n
place	p ɫ eɪ s
many	m ɛ n i
new	n u
those	ð oʊ z
show	ʃ oʊ
become	b ɪ k ʌ m
off	ɔ f
high	h aɪ
still	s t ɪ ɫ
change	tʃ eɪ n dʒ
same	s eɪ m
both	b oʊ θ
must	m ʌ s t
too	t u
case	k eɪ s
head	h ɛ d
each	i tʃ
system	s ɪ s t ə m
state	s t eɪ t
part	p ɑ ɹ t
face	f eɪ s
great	ɡ ɹ eɪ t
while	w aɪ ɫ
point	p ɔɪ n t
around	ɝ aʊ n d
never	n ɛ v ɝ
doe	d oʊ
old	oʊ ɫ d
world	w ɝ ɫ d
help	h ɛ ɫ p
far	f ɑ ɹ
form	f ɔ ɹ m
again	ə ɡ ɛ n
study	s t ʌ d i
different	d ɪ f ɝ ə n t
process	p ɹ ɑ s ɛ s
under	ʌ n d ɝ
set	s ɛ t
without	w ɪ θ aʊ t
end	ɛ n d
away	ə w eɪ
find	f aɪ n d
open	oʊ p ə n
another	ə n ʌ ð ɝ
something	s ʌ m θ ɪ ŋ
result	ɹ ɪ z ʌ ɫ t
love	ɫ ʌ v
against	ə ɡ ɛ n s t
provide	p ɹ ə v aɪ d
body	b ɑ d i
understand	ʌ n d ɝ s t æ n d
keep	k i p
order	ɔ ɹ d ɝ
few	f j u
mean	m i n
large	ɫ ɑ ɹ dʒ
small	s m ɔ ɫ
group	ɡ ɹ u p
power	p aʊ ɝ
example	ɪ ɡ z æ m p ə ɫ
close	k ɫ oʊ s
move	m u v
family	f æ m ə ɫ i
question	k w ɛ s tʃ ə n
name	n eɪ m
water	w ɔ t ɝ
value	v æ ɫ j u
live	ɫ aɪ v
last	ɫ æ s t
side	s aɪ d
every	ɛ v ɝ i
level	ɫ ɛ v ə ɫ
room	ɹ u m
present	p ɹ ɛ z ə n t
always	ɔ ɫ w eɪ z
social	s oʊ ʃ ə ɫ
increase	ɪ n k ɹ i s
within	w ɪ ð ɪ n
house	h aʊ s
home	h oʊ m
human	h j u m ə n
let	ɫ ɛ t
person	p ɝ s ə n
early	ɝ ɫ i
during	d ʊ ɹ ɪ ŋ
country	k ʌ n t ɹ i
low	ɫ oʊ
run	ɹ ʌ n
upon	ə p ɑ n
experience	ɪ k s p ɪ ɹ i ə n s
light	ɫ aɪ t
book	b ʊ k
speak	s p i k
put	p ʊ t
play	p ɫ eɪ
mind	m aɪ n d
important	ɪ m p ɔ ɹ t ə n t
model	m ɑ d ə ɫ
problem	p ɹ ɑ b ɫ ə m
often	ɔ f ə n
law	ɫ ɔ
though	ð oʊ
door	d ɔ ɹ
fact	f æ k t
leave	ɫ i v
himself	h ɪ m s ɛ ɫ f
information	ɪ n f ɝ m eɪ ʃ ə n
effect	ɪ f ɛ k t
support	s ə p ɔ ɹ t
tell	t ɛ ɫ
cause	k ɑ z
control	k ə n t ɹ oʊ ɫ
line	ɫ aɪ n
second	s ɛ k ə n d
moment	m oʊ m ə n t
until	ə n t ɪ ɫ
since	s ɪ n s
year	j ɪ ɹ
young	j ʌ ŋ
area	ɛ ɹ i ə
feel	f i ɫ
include	ɪ n k ɫ u d
talk	t ɔ k
return	ɹ ɪ t ɝ n
heart	h ɑ ɹ t
night	n aɪ t
approach	ə p ɹ oʊ tʃ
fall	f ɔ ɫ
friend	f ɹ ɛ n d
force	f ɔ ɹ s
course	k ɔ ɹ s
next	n ɛ k s t
school	s k u ɫ
call	k ɔ ɫ
really	ɹ ɪ ɫ i
idea	aɪ d i ə
already	ɔ ɫ ɹ ɛ d i
plan	p ɫ æ n
believe	b ɪ ɫ i v
reason	ɹ i z ə n
report	ɹ i p ɔ ɹ t
step	s t ɛ p
care	k ɛ ɹ
once	w ʌ n s
create	k ɹ i eɪ t
enough	ɪ n ʌ f
turn	t ɝ n
allow	ə ɫ aʊ
thing	θ ɪ ŋ
individual	ɪ n d ə v ɪ dʒ ə w ə ɫ
why	w aɪ
public	p ʌ b ɫ ɪ k
development	d ɪ v ɛ ɫ ə p m ə n t
smile	s m aɪ ɫ
type	t aɪ p
service	s ɝ v ə s
together	t ə ɡ ɛ ð ɝ
kind	k aɪ n d
view	v j u
read	ɹ ɛ d
woman	w ʊ m ə n
nothing	n ʌ θ ɪ ŋ
voice	v ɔɪ s
practice	p ɹ æ k t ə s
mother	m ʌ ð ɝ
sense	s ɛ n s
ever	ɛ v ɝ
stop	s t ɑ p
research	ɹ i s ɝ tʃ
rather	ɹ æ ð ɝ
answer	æ n s ɝ
able	eɪ b ə ɫ
father	f ɑ ð ɝ
possible	p ɑ s ə b ə ɫ
yet	j ɛ t
among	ə m ʌ ŋ
